"date","room7","daily_num_pat","daily_duration_mean","daily_duration_sd"
2020-02-21,"Arrived",347,7.71875360230548,9.86290889709504
2020-02-21,"MAJORS",119,2.56607142857143,1.89987930582646
2020-02-21,"Meas post arrival",207,0.262305421363392,0.379807165869296
2020-02-21,"OTF",4,0.121736111111111,0.130750125895965
2020-02-21,"RAT",232,0.475426245210728,0.405227167665415
2020-02-21,"RESUS",24,1.82505787037037,1.53138983631801
2020-02-21,"TAF",9,2.37641975308642,2.82588459343711
2020-02-21,"TRIAGE",186,1.49046146953405,1.25429385729155
2020-02-21,"TRIAGE Return",7,1.28634920634921,0.620878621858203
2020-02-21,"UTC",71,1.17975352112676,1.61391143575575
