DateTime,pred_poisson_mean_8hr
2019-11-20 06:00:00,4.212441466868812
2019-11-20 12:00:00,9.269932570802109
2019-11-20 16:00:00,8.67738303890304
2019-11-20 22:00:00,3.5659869741940926
2019-11-21 06:00:00,3.394041517289526
2019-11-21 12:00:00,9.601514461722187
2019-11-21 16:00:00,8.856304379439772
2019-11-21 22:00:00,3.103181803086409
2019-11-22 06:00:00,4.016951065076898
2019-11-22 12:00:00,9.557658043588262
2019-11-22 16:00:00,9.12186800762315
2019-11-22 22:00:00,3.456626393184737
2019-11-23 06:00:00,3.025322051933234
2019-11-23 12:00:00,8.57334445536987
2019-11-23 16:00:00,8.278223240357686
2019-11-23 22:00:00,3.982547782897804
2019-11-24 06:00:00,4.237769176537719
2019-11-24 12:00:00,9.110131638445637
2019-11-24 16:00:00,8.571977328426119
2019-11-24 22:00:00,4.1338899611007465
2019-11-25 06:00:00,3.8894099037299696
2019-11-25 12:00:00,8.943392747897247
2019-11-25 16:00:00,9.161733675231776
2019-11-25 22:00:00,3.1328577852323534
2019-11-26 06:00:00,3.8916448253637164
2019-11-26 12:00:00,8.494054636101493
2019-11-26 16:00:00,8.254991702207993
2019-11-26 22:00:00,3.471278081581493
2019-11-27 06:00:00,3.196653395717337
2019-11-27 12:00:00,8.857671237824658
2019-11-27 16:00:00,8.396572442290502
2019-11-27 22:00:00,3.149182519596788
2019-11-28 06:00:00,3.0782510094931697
2019-11-28 12:00:00,8.30092157278731
2019-11-28 16:00:00,7.8776986534525815
2019-11-28 22:00:00,3.21163599351862
2019-11-29 06:00:00,3.5181095164711746
2019-11-29 12:00:00,8.57324923883987
2019-11-29 16:00:00,7.7471149172418645
2019-11-29 22:00:00,4.008120341415395
2019-11-30 06:00:00,3.31874121401687
2019-11-30 12:00:00,8.119417608001301
2019-11-30 16:00:00,8.183795236652237
2019-11-30 22:00:00,4.232615378637192
2019-12-01 06:00:00,2.604378391459642
2019-12-01 12:00:00,6.8460531040406245
2019-12-01 16:00:00,7.022633891274726
2019-12-01 22:00:00,2.4988955737671654
2019-12-02 06:00:00,2.450107353176183
2019-12-02 12:00:00,7.365497006123366
2019-12-02 16:00:00,5.892590798929557
2019-12-02 22:00:00,2.3735822215573394
2019-12-03 06:00:00,2.5313143072346196
2019-12-03 12:00:00,6.950929740719986
2019-12-03 16:00:00,6.570377303724052
2019-12-03 22:00:00,2.2006458337470858
2019-12-04 06:00:00,1.9637392882790285
2019-12-04 12:00:00,5.880051359670026
2019-12-04 16:00:00,6.379961117428623
2019-12-04 22:00:00,2.2203216708852076
2019-12-05 06:00:00,2.1542729833864454
2019-12-05 12:00:00,5.9905379773632434
2019-12-05 16:00:00,5.86613876423499
2019-12-05 22:00:00,2.147570405744
2019-12-06 06:00:00,2.0911110879295136
2019-12-06 12:00:00,7.143739105890036
2019-12-06 16:00:00,6.625624176794236
2019-12-06 22:00:00,2.078425389700877
2019-12-07 06:00:00,2.1034363568123573
2019-12-07 12:00:00,5.419313421181334
2019-12-07 16:00:00,5.393794047619446
2019-12-07 22:00:00,2.1696584589830943
2019-12-08 06:00:00,2.257832560998552
2019-12-08 12:00:00,5.990389603812966
2019-12-08 16:00:00,6.536026297068331
2019-12-08 22:00:00,2.468186077315232
2019-12-09 06:00:00,2.0164106895087834
2019-12-09 12:00:00,6.277031535667525
2019-12-09 16:00:00,6.467815865347875
2019-12-09 22:00:00,1.9462832014577185
2019-12-10 06:00:00,2.186867613459693
2019-12-10 12:00:00,6.750010657300102
2019-12-10 16:00:00,6.770291382511408
2019-12-10 22:00:00,2.1960236091728675
2019-12-11 06:00:00,2.9200727626832745
2019-12-11 12:00:00,6.7641313784882495
2019-12-11 16:00:00,6.510771102113762
2019-12-11 22:00:00,2.4627235904085794
2019-12-12 06:00:00,2.945344468078715
2019-12-12 12:00:00,7.3120249368180685
